ID,time,label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
S01,0.0,1,2.9505649725741296,2.2985451143395927,0.18312199618126582,-0.005605339003264786,1.296765406943076,-2.1196576840883377,-2.286675971522895,-1.5848518825358535
S01,1.0,1,0.5027696284255229,1.0289218015715749,0.07482579803176787,0.7674353736782917,0.8357659406874465,0.13984899912786405,0.6330278409002228,0.2372347755409922
S01,2.0,1,0.45657429409904515,-0.9270735279830782,0.06100816233494799,0.5044902017393607,-0.7622977499636778,-0.004998154071552925,-0.6486198165970867,0.5221707082484524
S02,0.0,0,0.4894334390764572,0.5521157290343212,1.322939516208067,0.5241011119237174,0.10249523939269362,1.2889426809951938,-0.32350858703057983,1.4175171193838616
S02,1.0,0,0.5042499264339156,0.9063760868428954,-1.0728154604562072,0.23526920950941582,-0.13324610740725407,-0.2749455558491753,0.9646423478208305,-2.548085333278989
S02,2.0,0,0.9332082727944938,-0.16590495900335184,-0.7046167874161996,0.9523046927483876,-0.5013630618653662,-0.1086540773073753,1.0154577141500278,0.42026939403455665
S03,0.0,1,0.9850443320008135,1.193109703558898,-0.0078166425441033,-0.307090635517386,0.28408187116161304,-1.169731449420537,-0.564918719506299,0.1415041955910454
S03,1.0,1,0.6059188903755,0.4690565983990783,2.3459046214538204,-0.13064488818365408,-0.2431544871243431,0.7033301258063122,-1.2826975818746131,-0.2856105694360918
S03,2.0,1,1.902401356608385,0.6136259650047327,0.4544045321987338,0.822841742307838,-0.038295577161212555,0.7601645529542038,0.5482041050629866,0.14560500546787616
S04,0.0,0,1.2898546479098378,-0.806999330734744,-0.8639818922768576,1.1171696792793078,1.0294803190031316,0.011621914113703825,0.08596178723486848,-1.4292365519874959
S04,1.0,0,0.5444331861301722,-0.1724952977349971,-0.3589282847632329,0.5374577488445706,-0.3122035962881731,0.8947891146930311,0.925835995863187,-0.5697089166029056
S04,2.0,0,0.29423118915052626,0.6453554197239288,-0.30963862697385114,-0.36017641475666134,1.4709941475991801,0.7681132410370473,1.6356395308368161,-0.8140221604373211
